0s	0.2243	0.2212	0.2387	0.2366	0.2989	0.3349	0.2185	0.213	0.2284	0.2446	0.3126	0.3456	0.2217	0.2298	0.2474	0.2274	0.3065	0.3387	0.2283	0.2217	0.2344	0.2383	0.3041	0.3375	0.2184	0.2271	0.2408	0.2465	0.3048	0.3442	0.2128	0.2282	0.248	0.255	0.2972	0.3289	0.2362	0.2302	0.2478	0.2386	0.3002	0.3483	0.2179	0.2112	0.2419	0.2725	0.3227	0.3195	0.2096	0.2204	0.2491	0.2571	0.3164	0.3407	0.2901	0.2125	0.2027	0.2735	0.3244	0.3638	0.2277	0.2261	0.2417	0.2427	0.3252	0.3486	0.2285	0.213	0.2502	0.2533	0.2937	0.379	0.2394	0.2101	0.234	0.2556	0.3026	0.3602	0.2349	0.2087	0.2343	0.2365	0.3085	0.3039	0.2321	0.2379	0.2339	0.2496	0.2894	0.3554	0.234	0.2128	0.2323	0.2574	0.319	0.3212	
628s	0.2229	0.2194	0.2525	0.2593	0.312	0.3631	0.2156	0.2101	0.2369	0.2646	0.3113	0.3571	0.2176	0.2248	0.2568	0.2359	0.3213	0.3651	0.2232	0.216	0.2447	0.2449	0.3099	0.3589	0.2146	0.2233	0.2458	0.2476	0.3287	0.3654	0.2075	0.2219	0.2503	0.2556	0.3092	0.3518	0.2298	0.2239	0.2551	0.2408	0.3232	0.3689	0.2113	0.2059	0.2489	0.2912	0.3184	0.339	0.2054	0.215	0.2577	0.2585	0.3219	0.3597	0.2604	0.2059	0.2207	0.2859	0.3221	0.37	0.22	0.2199	0.2473	0.2431	0.3389	0.3603	0.2205	0.2074	0.266	0.2728	0.2932	0.3979	0.2338	0.2038	0.2398	0.2632	0.3183	0.3828	0.2267	0.2038	0.2404	0.2413	0.3093	0.3309	0.2254	0.234	0.2328	0.2506	0.2962	0.3717	0.2224	0.2055	0.2397	0.2629	0.3143	0.3489	
1255s	0.223	0.2179	0.2543	0.2609	0.3146	0.3661	0.2162	0.2106	0.238	0.2663	0.313	0.3606	0.218	0.2245	0.2576	0.2365	0.3247	0.3699	0.2241	0.2168	0.2454	0.2458	0.3116	0.3629	0.2128	0.2243	0.2461	0.2477	0.3315	0.3698	0.208	0.2228	0.2528	0.2585	0.3126	0.3578	0.2303	0.2241	0.2572	0.2416	0.3262	0.3725	0.2119	0.2065	0.2498	0.2931	0.3203	0.3432	0.2035	0.2158	0.259	0.2591	0.3225	0.3652	0.2468	0.2072	0.23	0.2882	0.3237	0.3738	0.22	0.2204	0.2496	0.2437	0.3418	0.3636	0.2213	0.2082	0.2803	0.2779	0.2954	0.4111	0.2312	0.2052	0.242	0.2664	0.321	0.3889	0.2276	0.2052	0.2453	0.2447	0.3112	0.3491	0.2247	0.2336	0.2337	0.2502	0.2987	0.3749	0.223	0.2077	0.2486	0.2684	0.3192	0.3655	
1883s	0.2237	0.2185	0.2556	0.2632	0.3159	0.3688	0.2167	0.211	0.2401	0.2671	0.3148	0.3622	0.2185	0.2253	0.2594	0.2373	0.3266	0.3729	0.2249	0.2177	0.2475	0.2481	0.3125	0.3652	0.2131	0.2255	0.2471	0.2488	0.3334	0.3727	0.2088	0.2237	0.2534	0.2595	0.3136	0.3617	0.2307	0.2244	0.2577	0.2425	0.3277	0.3754	0.213	0.2076	0.2511	0.2958	0.3213	0.3478	0.2045	0.216	0.2599	0.2595	0.3216	0.3693	0.2398	0.2079	0.2368	0.2887	0.3242	0.3788	0.2204	0.2215	0.2509	0.245	0.3441	0.3656	0.2228	0.2093	0.2896	0.2818	0.2975	0.4225	0.2307	0.2059	0.2429	0.2674	0.3232	0.3923	0.2281	0.206	0.2451	0.2479	0.312	0.3623	0.2247	0.2326	0.2344	0.2504	0.3003	0.3782	0.2242	0.2083	0.2557	0.2708	0.3193	0.3735	
2511s	0.2244	0.219	0.2574	0.2646	0.3171	0.3716	0.2174	0.2118	0.2412	0.2708	0.3159	0.363	0.2198	0.2257	0.2603	0.2381	0.3284	0.3751	0.2257	0.2187	0.249	0.2493	0.3143	0.3673	0.2132	0.2272	0.2484	0.2504	0.3346	0.3766	0.2099	0.225	0.2537	0.2607	0.3171	0.3647	0.2323	0.2252	0.2582	0.2438	0.3313	0.3779	0.2139	0.2088	0.2526	0.2979	0.3223	0.3496	0.2057	0.2176	0.2619	0.2613	0.2984	0.3725	0.2382	0.2088	0.2411	0.2919	0.3263	0.3794	0.2214	0.2231	0.2525	0.2462	0.3459	0.3678	0.2233	0.2107	0.2906	0.2852	0.3015	0.4299	0.2309	0.2076	0.2441	0.2692	0.3249	0.3977	0.2287	0.207	0.2475	0.2523	0.3132	0.3704	0.2263	0.234	0.2357	0.2516	0.3026	0.3806	0.2245	0.2115	0.26	0.274	0.3217	0.3816	
3138s	0.225	0.2201	0.2587	0.2659	0.3192	0.3743	0.2183	0.2127	0.2426	0.2721	0.3183	0.3652	0.2207	0.227	0.262	0.2391	0.3292	0.3776	0.2273	0.2201	0.2504	0.2504	0.3165	0.3678	0.2142	0.2285	0.2496	0.2525	0.3369	0.3789	0.2112	0.2262	0.255	0.2619	0.3183	0.368	0.2336	0.2262	0.2598	0.2454	0.3323	0.3797	0.2153	0.2098	0.2538	0.2991	0.3238	0.3528	0.2077	0.219	0.263	0.2623	0.2903	0.3755	0.2354	0.2102	0.2423	0.2945	0.329	0.3824	0.2223	0.2247	0.2546	0.2481	0.3487	0.3696	0.225	0.2118	0.2895	0.2892	0.3059	0.4366	0.2325	0.2093	0.2448	0.2708	0.326	0.4005	0.2301	0.2081	0.251	0.2562	0.3148	0.3785	0.2265	0.2345	0.2376	0.2524	0.3047	0.3831	0.2251	0.2142	0.2651	0.2754	0.3239	0.388	
3766s	0.2263	0.221	0.2599	0.2677	0.3213	0.3759	0.2194	0.2138	0.244	0.2735	0.3191	0.3678	0.2216	0.2277	0.2632	0.2406	0.332	0.3801	0.2285	0.2213	0.2519	0.2521	0.3176	0.3708	0.2145	0.2298	0.2511	0.2541	0.3393	0.381	0.2126	0.2277	0.2566	0.2638	0.3194	0.3692	0.2351	0.2274	0.2607	0.2473	0.3334	0.3821	0.2165	0.2109	0.2552	0.3007	0.3252	0.3538	0.2091	0.2203	0.2646	0.2635	0.2939	0.3776	0.2335	0.2115	0.2416	0.2944	0.3319	0.3857	0.2242	0.2266	0.2568	0.2506	0.351	0.3735	0.2263	0.2138	0.2844	0.293	0.3106	0.4428	0.2333	0.2112	0.2464	0.2733	0.3293	0.4039	0.2311	0.2097	0.2542	0.2604	0.3161	0.382	0.2277	0.2363	0.2396	0.2548	0.3069	0.3849	0.2267	0.2167	0.2721	0.2777	0.3272	0.3924	
4393s	0.2272	0.2222	0.2616	0.2698	0.3233	0.3769	0.2208	0.215	0.2461	0.2752	0.3212	0.3692	0.223	0.2289	0.2649	0.2422	0.3341	0.3815	0.2301	0.2228	0.2537	0.2539	0.3192	0.3723	0.2155	0.2317	0.2525	0.2556	0.341	0.3818	0.214	0.2292	0.2582	0.2653	0.321	0.3704	0.2369	0.2292	0.2625	0.2494	0.3354	0.3842	0.218	0.2124	0.2567	0.3022	0.3268	0.3554	0.2118	0.2217	0.2659	0.2652	0.2967	0.3801	0.2321	0.2131	0.2404	0.2985	0.3346	0.3893	0.2253	0.2285	0.2593	0.2518	0.3538	0.3758	0.2283	0.2159	0.2837	0.296	0.3147	0.4487	0.2343	0.2137	0.2482	0.276	0.3313	0.4081	0.2333	0.2116	0.2553	0.265	0.3181	0.3888	0.2292	0.2381	0.2419	0.2559	0.3099	0.3886	0.2288	0.2204	0.2816	0.2796	0.33	0.3979	
5021s	0.2286	0.2236	0.2632	0.272	0.3249	0.3787	0.222	0.2166	0.2479	0.2772	0.3216	0.3705	0.2243	0.2308	0.2666	0.244	0.3356	0.3835	0.2315	0.2247	0.2555	0.2557	0.321	0.3733	0.2167	0.2332	0.2542	0.2573	0.3427	0.3843	0.2158	0.2312	0.2598	0.2668	0.3226	0.3751	0.2387	0.2309	0.2638	0.2517	0.3367	0.3854	0.22	0.2141	0.2583	0.3036	0.3286	0.3567	0.2141	0.2231	0.2677	0.2669	0.2992	0.3838	0.2322	0.2151	0.2397	0.302	0.3377	0.3929	0.2273	0.2315	0.2615	0.2547	0.3562	0.3782	0.2299	0.2185	0.2825	0.2992	0.3186	0.4545	0.2358	0.2164	0.2505	0.2788	0.3339	0.4132	0.2352	0.2163	0.258	0.2692	0.3205	0.3959	0.2306	0.24	0.2443	0.2568	0.3132	0.3911	0.2307	0.2202	0.2881	0.2818	0.3346	0.4018	
5648s	0.2301	0.225	0.2653	0.2745	0.3269	0.3803	0.2237	0.2185	0.25	0.279	0.3234	0.3724	0.2259	0.2322	0.2684	0.2459	0.3374	0.3856	0.2334	0.2269	0.2567	0.2576	0.3224	0.3751	0.2178	0.2353	0.2563	0.2597	0.3446	0.3876	0.2174	0.2325	0.2615	0.2688	0.3244	0.3773	0.2409	0.233	0.2659	0.2539	0.3383	0.387	0.2214	0.2159	0.2602	0.3059	0.3299	0.3585	0.2169	0.2252	0.2696	0.2686	0.3025	0.3866	0.2329	0.2169	0.2403	0.3036	0.3408	0.3968	0.2299	0.234	0.2641	0.2572	0.3587	0.3806	0.2322	0.2211	0.2844	0.3026	0.3219	0.4607	0.2368	0.219	0.2524	0.2818	0.336	0.4181	0.2368	0.2178	0.262	0.2741	0.3229	0.3993	0.2324	0.2426	0.2474	0.2589	0.3164	0.3938	0.2336	0.2237	0.3021	0.2852	0.3378	0.4062	
6276s	0.2313	0.2267	0.268	0.2767	0.329	0.3821	0.2255	0.2201	0.2518	0.281	0.3255	0.3741	0.2276	0.2336	0.2709	0.2477	0.3396	0.3878	0.2351	0.2285	0.2585	0.2597	0.3245	0.3769	0.2184	0.2368	0.2583	0.2615	0.3466	0.3895	0.2195	0.2346	0.2634	0.2708	0.3262	0.3788	0.2425	0.2346	0.2676	0.2561	0.3402	0.3883	0.2233	0.2175	0.2616	0.308	0.3318	0.3601	0.2201	0.2272	0.2716	0.2704	0.3053	0.3888	0.2339	0.2193	0.2416	0.3043	0.3431	0.4011	0.2316	0.2364	0.2673	0.259	0.3623	0.3842	0.2342	0.2232	0.2859	0.3064	0.3261	0.4662	0.2386	0.2215	0.255	0.2854	0.339	0.4216	0.2393	0.2192	0.2653	0.2785	0.3253	0.4041	0.2336	0.245	0.2499	0.2612	0.3199	0.3966	0.2358	0.2252	0.3113	0.2875	0.341	0.4096	
