0s	0.3313	0.2576	0.2563	0.2454	0.2747	0.2564	0.2383	0.2699	0.2805	0.2662	0.2729	0.2886	0.2434	0.2546	0.2556	0.2479	0.2586	0.2623	0.2477	0.252	0.2584	0.2525	0.2996	0.2793	0.2466	0.2948	0.2577	0.2465	0.2617	0.2674	0.2486	0.2792	0.2549	0.2507	0.2576	0.2648	0.2596	0.2575	0.2601	0.2517	0.2523	0.2497	0.2529	0.288	0.257	0.2601	0.264	0.2685	0.2623	0.2583	0.2407	0.247	0.2521	0.2688	0.2465	0.2566	0.2539	0.2498	0.2482	0.2661	0.2537	0.2478	0.2439	0.2479	0.2499	0.2562	0.2786	0.2462	0.2582	0.2548	0.2546	0.2642	0.2551	0.2468	0.2468	0.2825	0.2557	0.265	0.2419	0.2524	0.2529	0.2586	0.2627	0.2643	0.2658	0.2559	0.2782	0.2633	0.2561	0.2982	0.2767	0.2525	0.2744	0.2688	0.2812	0.3203	
628s	0.2835	0.2485	0.2445	0.2379	0.2669	0.2484	0.2342	0.2558	0.2641	0.2443	0.2448	0.2314	0.2375	0.2488	0.2531	0.2449	0.2522	0.2554	0.2442	0.2451	0.2511	0.2398	0.2793	0.2473	0.2416	0.2919	0.2547	0.2434	0.2591	0.2637	0.2431	0.2742	0.2489	0.2406	0.2388	0.2367	0.2562	0.2495	0.2536	0.2484	0.2489	0.2445	0.2512	0.2808	0.2518	0.2506	0.2534	0.2379	0.2547	0.2547	0.2384	0.2445	0.2492	0.2636	0.2443	0.251	0.2457	0.242	0.2368	0.2418	0.2427	0.2442	0.2425	0.2458	0.2459	0.2499	0.2738	0.2424	0.2504	0.2471	0.2447	0.241	0.2423	0.242	0.244	0.2792	0.2513	0.2591	0.2386	0.2477	0.2444	0.2446	0.2443	0.2386	0.2422	0.2375	0.2685	0.2555	0.2384	0.282	0.2639	0.2388	0.2506	0.2432	0.2425	0.2464	
1255s	0.2826	0.2481	0.2444	0.2376	0.267	0.2484	0.2343	0.2555	0.2638	0.2438	0.2445	0.2305	0.2379	0.2479	0.2523	0.2445	0.2514	0.2547	0.2438	0.2445	0.2507	0.2394	0.2789	0.2462	0.241	0.2926	0.2543	0.243	0.2589	0.2638	0.243	0.2747	0.2487	0.2403	0.2383	0.2357	0.2558	0.2486	0.2535	0.2479	0.2481	0.2439	0.2513	0.2796	0.2512	0.25	0.2531	0.2374	0.2527	0.2547	0.238	0.244	0.2489	0.2631	0.2437	0.2505	0.2452	0.2419	0.2359	0.2406	0.2421	0.2443	0.2426	0.2454	0.2449	0.2494	0.2747	0.242	0.2497	0.2468	0.244	0.2404	0.2418	0.2423	0.2441	0.2791	0.251	0.2597	0.2385	0.2478	0.2436	0.2436	0.244	0.2376	0.2421	0.2375	0.2679	0.2552	0.237	0.2819	0.2637	0.2386	0.2486	0.2425	0.242	0.2454	
1883s	0.2823	0.248	0.2442	0.2376	0.2669	0.2481	0.2339	0.255	0.2635	0.2434	0.2436	0.2296	0.2381	0.2477	0.2517	0.2439	0.2508	0.2544	0.2436	0.2434	0.2504	0.2387	0.2772	0.2451	0.2401	0.2909	0.2542	0.2427	0.2587	0.2638	0.2423	0.2743	0.248	0.2397	0.2376	0.2349	0.2553	0.2482	0.2529	0.2471	0.2475	0.2434	0.2512	0.2785	0.2505	0.2494	0.2516	0.2364	0.2513	0.2544	0.2376	0.2434	0.248	0.2622	0.2433	0.2495	0.245	0.241	0.2349	0.2399	0.242	0.2437	0.2416	0.2447	0.244	0.2485	0.2749	0.2411	0.2487	0.2457	0.2431	0.2395	0.2396	0.242	0.2436	0.2789	0.2509	0.2595	0.2383	0.2474	0.2433	0.2425	0.2434	0.237	0.2412	0.2372	0.2667	0.2543	0.236	0.2817	0.2628	0.238	0.2474	0.2421	0.2414	0.2439	
2511s	0.2827	0.2477	0.244	0.2376	0.2665	0.2477	0.2334	0.2546	0.2629	0.2414	0.2428	0.229	0.2382	0.2474	0.2513	0.2439	0.2505	0.2541	0.2435	0.2434	0.2501	0.2383	0.276	0.2446	0.2402	0.2919	0.2538	0.2425	0.2584	0.2634	0.2424	0.2743	0.2479	0.239	0.2376	0.2343	0.2557	0.2482	0.2525	0.2472	0.2474	0.243	0.2514	0.2784	0.2502	0.249	0.2516	0.2357	0.2516	0.2544	0.2374	0.243	0.2477	0.2614	0.2428	0.249	0.2444	0.2406	0.2342	0.2388	0.2421	0.2437	0.2412	0.2445	0.2437	0.2484	0.2746	0.2409	0.2487	0.246	0.2428	0.2387	0.2386	0.242	0.244	0.2791	0.2504	0.2591	0.2384	0.2469	0.2425	0.2418	0.2429	0.2361	0.241	0.2368	0.2658	0.254	0.2361	0.2813	0.2625	0.2379	0.2463	0.2414	0.2406	0.2432	
3138s	0.2832	0.2477	0.244	0.2374	0.2667	0.2477	0.2336	0.2547	0.2628	0.242	0.2424	0.2285	0.2383	0.2473	0.2513	0.2435	0.2504	0.2538	0.2434	0.2428	0.2498	0.2378	0.2759	0.2436	0.2403	0.2921	0.2537	0.2424	0.2584	0.2632	0.2421	0.2742	0.2475	0.2387	0.2371	0.2338	0.2557	0.2481	0.2526	0.2469	0.247	0.2425	0.2513	0.2778	0.25	0.2482	0.251	0.2354	0.251	0.2548	0.2376	0.243	0.2474	0.261	0.2426	0.249	0.244	0.2399	0.2334	0.2381	0.2418	0.2438	0.2417	0.2443	0.2432	0.2479	0.2747	0.2409	0.248	0.2446	0.2418	0.2381	0.2382	0.2422	0.2436	0.2786	0.2502	0.2588	0.2382	0.2469	0.2423	0.2411	0.2425	0.2351	0.241	0.2369	0.2663	0.2538	0.2362	0.281	0.2621	0.2374	0.2456	0.2408	0.2398	0.2428	
3766s	0.2845	0.248	0.2441	0.2378	0.2669	0.248	0.2337	0.255	0.2628	0.2412	0.2419	0.2279	0.2389	0.2479	0.2513	0.2439	0.2503	0.2539	0.2435	0.2427	0.2496	0.2375	0.275	0.243	0.2405	0.2925	0.2539	0.2421	0.2581	0.2635	0.2419	0.2743	0.2475	0.2381	0.2368	0.2333	0.2562	0.2483	0.2527	0.2472	0.2469	0.2423	0.251	0.2771	0.2497	0.2478	0.2505	0.235	0.2511	0.2555	0.2377	0.2431	0.2475	0.2613	0.2425	0.2488	0.2438	0.2394	0.2329	0.2376	0.2418	0.2437	0.2418	0.2444	0.2432	0.2477	0.2753	0.2406	0.2472	0.2445	0.2411	0.2376	0.2385	0.243	0.2435	0.2793	0.2504	0.2587	0.2381	0.2466	0.242	0.2407	0.2418	0.2346	0.2418	0.2376	0.2663	0.2545	0.2367	0.2815	0.2618	0.2372	0.2449	0.2401	0.2396	0.2423	
4394s	0.2853	0.2483	0.2442	0.2377	0.2669	0.2477	0.2339	0.255	0.2627	0.2415	0.242	0.2275	0.2389	0.2482	0.2514	0.244	0.2504	0.2537	0.2437	0.2429	0.2494	0.2375	0.2748	0.2427	0.2405	0.2924	0.2539	0.2424	0.2586	0.2636	0.2418	0.2742	0.2473	0.238	0.2364	0.2329	0.2567	0.2486	0.2528	0.2474	0.2473	0.2424	0.2512	0.277	0.2497	0.2479	0.2506	0.2346	0.2511	0.2559	0.2376	0.2433	0.2476	0.2612	0.2424	0.2487	0.2435	0.2393	0.2327	0.2371	0.2417	0.244	0.2418	0.2444	0.2437	0.248	0.2752	0.2401	0.2474	0.2444	0.2412	0.237	0.2388	0.2434	0.2437	0.2792	0.2505	0.259	0.2383	0.2464	0.2417	0.2405	0.2417	0.2342	0.242	0.2377	0.2665	0.2545	0.2368	0.2818	0.2625	0.2372	0.2446	0.2402	0.2394	0.2416	
5021s	0.2859	0.2485	0.2443	0.238	0.2672	0.2477	0.2337	0.2548	0.2624	0.2416	0.2415	0.2272	0.2394	0.2486	0.2515	0.2439	0.2498	0.2538	0.2433	0.2428	0.2489	0.2373	0.274	0.2422	0.2408	0.2927	0.2543	0.2422	0.2585	0.2637	0.2421	0.2743	0.2472	0.2374	0.2359	0.2326	0.2569	0.2488	0.2528	0.2474	0.2471	0.2423	0.251	0.2768	0.2493	0.2475	0.2497	0.2341	0.2516	0.2561	0.2379	0.2432	0.2474	0.2617	0.2421	0.2484	0.2432	0.2388	0.2321	0.2364	0.2422	0.2444	0.242	0.2444	0.2435	0.2481	0.2749	0.2404	0.2469	0.2439	0.2405	0.2366	0.2398	0.2437	0.2438	0.2798	0.2505	0.2589	0.2382	0.2465	0.2413	0.24	0.241	0.2339	0.2424	0.2376	0.2661	0.2543	0.237	0.2819	0.2619	0.2373	0.2442	0.2397	0.2385	0.2413	
5649s	0.2869	0.2486	0.2444	0.2381	0.2676	0.2477	0.2338	0.2548	0.2623	0.2403	0.2411	0.2271	0.2397	0.249	0.2517	0.244	0.2505	0.2535	0.2437	0.2429	0.2491	0.2369	0.2742	0.242	0.2413	0.2926	0.2547	0.2425	0.2588	0.2638	0.2421	0.2745	0.247	0.2371	0.2355	0.2326	0.2576	0.2492	0.2533	0.2476	0.2475	0.2421	0.251	0.2763	0.2493	0.2472	0.2497	0.2341	0.252	0.2564	0.2382	0.2435	0.2475	0.2614	0.2424	0.249	0.2431	0.2385	0.2318	0.2364	0.2426	0.2447	0.2425	0.2446	0.244	0.2482	0.2749	0.2405	0.2466	0.2437	0.2401	0.2364	0.2399	0.2444	0.244	0.2805	0.2509	0.2593	0.2385	0.2466	0.2412	0.2399	0.2406	0.2337	0.2424	0.2384	0.2666	0.2545	0.2363	0.2822	0.262	0.2375	0.2436	0.2398	0.2386	0.2408	
6277s	0.2877	0.2491	0.2447	0.2384	0.2674	0.248	0.2335	0.2552	0.2628	0.2409	0.2405	0.2263	0.2398	0.2496	0.2519	0.2443	0.2507	0.2541	0.2434	0.2428	0.2489	0.2367	0.2732	0.2416	0.2414	0.2933	0.2549	0.2427	0.2587	0.2638	0.2421	0.2742	0.2469	0.2369	0.2352	0.2319	0.2583	0.2496	0.2533	0.2477	0.2477	0.2424	0.2509	0.2764	0.2492	0.2471	0.2496	0.2335	0.2521	0.2569	0.2384	0.2439	0.2475	0.2616	0.2421	0.2488	0.2428	0.2382	0.2313	0.2357	0.2428	0.2449	0.2424	0.245	0.2443	0.2483	0.2755	0.2401	0.2462	0.2435	0.2399	0.2356	0.2399	0.2446	0.2443	0.28	0.2506	0.2594	0.2388	0.2464	0.2408	0.2393	0.2402	0.233	0.2431	0.2382	0.2665	0.2543	0.2364	0.282	0.262	0.2373	0.2432	0.2389	0.2381	0.2399	
6904s	0.2883	0.2498	0.2452	0.2388	0.268	0.2482	0.2341	0.2552	0.2627	0.2399	0.2407	0.2264	0.2406	0.2499	0.2525	0.2443	0.251	0.2541	0.2435	0.2428	0.2489	0.2364	0.2733	0.2413	0.2419	0.2931	0.2552	0.243	0.2592	0.2641	0.2422	0.2743	0.2467	0.2368	0.2349	0.2319	0.259	0.2499	0.254	0.2475	0.248	0.2423	0.2513	0.2763	0.249	0.247	0.2493	0.2331	0.2531	0.2577	0.2388	0.2442	0.2478	0.2623	0.2425	0.2492	0.2427	0.238	0.231	0.2353	0.2432	0.2456	0.2429	0.2452	0.2443	0.2487	0.2757	0.2403	0.2466	0.2433	0.2398	0.2357	0.2405	0.2455	0.2446	0.2806	0.2512	0.2595	0.239	0.2466	0.2405	0.2395	0.2403	0.2327	0.244	0.2392	0.2682	0.2551	0.2367	0.2826	0.2625	0.2372	0.2435	0.2389	0.2373	0.2402	
7532s	0.2894	0.2501	0.2453	0.2389	0.2682	0.2485	0.2341	0.2555	0.2628	0.2396	0.2405	0.226	0.2411	0.2504	0.2525	0.2448	0.2509	0.2541	0.2438	0.2428	0.2486	0.236	0.2728	0.2411	0.2425	0.2937	0.2555	0.2432	0.2591	0.2639	0.2422	0.2746	0.2467	0.2364	0.2345	0.2315	0.2594	0.2505	0.2541	0.2481	0.2481	0.2426	0.2514	0.2755	0.2489	0.2465	0.249	0.2328	0.2535	0.258	0.2391	0.2444	0.2482	0.2621	0.2425	0.2489	0.2427	0.2378	0.2307	0.2347	0.2438	0.246	0.2434	0.2453	0.2445	0.2487	0.2758	0.2401	0.246	0.2432	0.2392	0.2353	0.2413	0.2462	0.2452	0.2812	0.2514	0.2599	0.2392	0.2466	0.2408	0.2392	0.2399	0.2321	0.2447	0.2399	0.2683	0.2548	0.2369	0.2826	0.2625	0.2372	0.2433	0.2385	0.2369	0.2396	
8160s	0.2895	0.2507	0.2457	0.2394	0.2687	0.2483	0.234	0.2558	0.2628	0.2395	0.2398	0.2258	0.241	0.2506	0.2527	0.2454	0.2508	0.2544	0.2436	0.2431	0.2484	0.2356	0.2725	0.2405	0.2425	0.2939	0.2561	0.2435	0.2596	0.264	0.2425	0.274	0.2464	0.236	0.2341	0.2311	0.2601	0.2511	0.2546	0.2485	0.2484	0.2427	0.2512	0.2756	0.2488	0.2463	0.2486	0.2323	0.2538	0.2584	0.2395	0.2447	0.2481	0.2623	0.2425	0.249	0.2423	0.2374	0.2303	0.2344	0.2443	0.2464	0.2436	0.2455	0.2444	0.2487	0.2761	0.2401	0.2456	0.2427	0.2387	0.2348	0.2414	0.2469	0.2456	0.2816	0.2515	0.2599	0.2394	0.2464	0.2404	0.2387	0.2397	0.232	0.2457	0.2403	0.2687	0.2557	0.237	0.2829	0.263	0.2374	0.2426	0.2383	0.2368	0.2391	
